name,description,age,created_in,cost
Jaguar,Wild jaguar. Same as wolf on yucatan and other americas maps,Dark,Gaia,{"Cost":"No cost"}
Trade Cart,Used to trade with other players by land. Carries goods from your Market to another player's Market and brings back gold. The farther the Market the higher your profit,Feudal,Market,{"Wood": 100;"Gold": 50}
Missionary,Spanish unique unit. Mounted monk,Castle,Monastery,{"Gold": 100}
Monk,Slow and weak. Converts enemy units and ships to your civilization (player color). Heals wounded villagers and military units (except siege weapons),Castle,Monastery,{"Gold": 100}
Bombard Cannon,Powerful mobile anti-building siege weapon,Imperial,Siege Workshop,{"Wood": 225;"Gold": 225}
Mangonel,Wheeled siege weapon used to attack a small mass of units. Area of effect attack. Can attack ground. Weak vs. close nonranged units,Castle,Siege Workshop,{"Wood": 160;"Gold": 135}
Onager,Upgraded Mangonel,Imperial,Siege Workshop,{"Wood": 160;"Gold": 135}
Siege Onager,Upgraded Onager,Imperial,Siege Workshop,{"Wood": 160;"Gold": 135}
Battering Ram,Slow and lumbering siege weapon used to reduce enemy towns to ruins. Can garrison 4 units (affects movement rate +0.05 per unit),Castle,Siege Workshop,{"Wood": 160;"Gold": 75}
Capped Ram,Upgraded Battering Ram. Can garrison 4 units (affects movement rate +0.05 per unit). Max speed at 0.7,Imperial,Siege Workshop,{"Wood": 160;"Gold": 75}
Siege Ram,Upgraded Capped Ram. Can garrison 6 units (affects movement rate +0.05 per unit),Imperial,Siege Workshop,{"Wood": 160;"Gold": 75}
Scorpion,Damage to all units in the path,Castle,Siege Workshop,{"Wood": 75;"Gold": 75}
Heavy Scorpion,Upgraded Scorpion,Imperial,Siege Workshop,{"Wood": 75;"Gold": 75}
Camel,Excels at killing other mounted units. (not classified as cavalry),Castle,Stable,{"Food": 55;"Gold": 60}
Heavy Camel,Upgraded Camel. Attack bonus vs. cavalry. (not classified as cavalry),Imperial,Stable,{"Food": 55;"Gold": 60}
Knight,Fast and heavy cavalry,Castle,Stable,{"Food": 60;"Gold": 75}
Cavalier,Upgraded Knight,Imperial,Stable,{"Food": 60;"Gold": 75}
Paladin,Upgraded Cavalier,Imperial,Stable,{"Food": 60;"Gold": 75}
Scout Cavalry,Fast with extensive line of sight. Resistant to conversion +2 Line of sight per age,Feudal,Stable,{"Food": 80}
Light Cavalry,Upgraded scout cavalry. +2 Line of sight per age,Castle,Stable,{"Food": 80}
Hussar,Upgraded Light Cavalry. +2 Line of sight per age,Imperial,Stable,{"Food": 80}
Villager,Gathers resources. Builds and repairs buildings. Also repairs ships and siege weapons,Dark,Town Center,{"Food": 50}
Berserk,Viking unique unit. Infantry that slowly heals itself,Castle,Castle,{"Food": 65;"Gold": 25}
Elite Berserk,Upgraded Berserk,Imperial,Castle,{"Food": 65;"Gold": 25}
Cataphract,Byzantine unique unit. Heavily armored cavalry,Castle,Castle,{"Food": 70;"Gold": 75}
Elite Cataphract,Upgraded Cataphract,Imperial,Castle,{"Food": 70;"Gold": 75}
Chu Ko Nu,Chinese unique unit. Archer with mediocre range. Shoots a volley of 2 extra arrows with 3 attack. Because of the multiple arrows the delay between starts of attacks is more (roughly 3.6),Castle,Castle,{"Wood": 40;"Gold": 35}
Elite Chu Ko Nu,Upgraded Chu Ko NU,Imperial,Castle,{"Wood": 40;"Gold": 35}
Conquistador,Spanish unique unit. Mounted Hand Cannoneer. Powerful close attack but inaccurate at range. (Only archer armor upgrades apply from blacksmith not range or attack),Castle,Castle,{"Food": 60;"Gold": 70}
Elite Conquistador,Upgraded Conquistador,Imperial,Castle,{"Food": 60;"Gold": 70}
Huskarl,Gothic unique unit. Infantry with substantial pierce armor; virtually immune to archer fire. Attack bonus vs. buildings and archers,Castle,Castle,{"Food": 52;"Gold": 26}
Elite Huskarl,Upgraded Huskarl,Imperial,Castle,{"Food": 52;"Gold": 26}
Jaguar Warrior,Aztec unique unit. Attack bonus vs. other infantry,Castle,Castle,{"Food": 60;"Gold": 30}
Elite Jaguar Warrior,Upgraded Jaguar Warrior,Castle,Castle,{"Food": 60;"Gold": 30}
Janissary,Turkish unique unit. Hand Cannoneer with longer range and no minimum range,Castle,Castle,{"Food": 60;"Gold": 55}
Elite Janissary,Upgraded Janissary,Imperial,Castle,{"Food": 60;"Gold": 55}
Longbowman,British unique unit. Powerful archer with long range,Castle,Castle,{"Wood": 35;"Gold": 40}
Elite Longbowman,Upgraded Longbowman,Imperial,Castle,{"Wood": 35;"Gold": 40}
Mameluke,Saracen unique unit. Camel with hand-to-hand attack at distance. Excels vs. other mounted units,Castle,Castle,{"Food": 55;"Gold": 85}
Elite Mameluke,Upgraded Mameluke,Imperial,Castle,{"Food": 55;"Gold": 85}
Mangudai,Mongol unique unit. Cavalry archer with attack bonus vs. siege weapons,Castle,Castle,{"Wood": 55;"Gold": 65}
Elite Mangudai,Upgraded Mangudai,Imperial,Castle,{"Wood": 55;"Gold": 65}
Plumed Archer,Mayan unique unit. Strong fast and well-armored archer with less attack than other archers,Castle,Castle,{"Wood": 37;"Gold": 37}
Elite Plumed Archer,Upgraded Plumed Archer,Castle,Castle,{"Wood": 32;"Gold": 32}
Samurai,Japanese unique unit. Infantry with fast attack. Attack bonus vs. other unique units and buildings,Castle,Castle,{"Food": 60;"Gold": 30}
Elite Samurai,Upgraded Samurai,Imperial,Castle,{"Food": 60;"Gold": 30}
Tarkan,Hun unique unit. Cavalry with attack bonus vs. buildings. (Attack bonuses stack - for example +16 against a palisade wall (8 buildings + 8 walls)),Castle,Castle,{"Food": 60;"Gold": 60}
Elite Tarkan,Upgraded Tarkan,Castle,Castle,{"Food": 60;"Gold": 60}
Teutonic Knight,Teutonic unique unit. Infantry with effective armor and slow but powerful attack,Castle,Castle,{"Food": 85;"Gold": 40}
Elite Teutonic Knight,Upgraded Teutonic Knight,Imperial,Castle,{"Food": 85;"Gold": 40}
Throwing Axeman,Frankish unique unit. Infantry with ranged attack,Castle,Castle,{"Food": 55;"Gold": 25}
Elite Throwing Axeman,Upgraded Throwing Axeman,Imperial,Castle,{"Food": 55;"Gold": 25}
War Elephant,Persian unique unit. Slow powerful strong and well-armored cavalry,Castle,Castle,{"Food": 200;"Gold": 75}
Elite War Elephant,Upgraded War Elephant,Imperial,Castle,{"Food": 200;"Gold": 75}
War Wagon,Korean unique unit. Heavily armored horse-drawn archery unit,Castle,Castle,{"Wood": 120;"Gold": 60}
Elite War Wagon,Upgraded War Wagon,Imperial,Castle,{"Wood": 120;"Gold": 60}
Woad Raider,Celtic unique unit. Exceptionally quick infantry. Attack bonus vs. buildings,Castle,Castle,{"Food": 65;"Gold": 25}
Elite Woad Raider,Upgraded Woad Raider,Imperial,Castle,{"Food": 65;"Gold": 25}
